Date,Title,Author
11/4/2001,Midnight Bayou,Nora Roberts
11/4/2001,Blood and Gold,Anne Rice
11/4/2001,Falling Angels,Tracy Chevalier
11/4/2001,Half a Life,V.S. Naipaul
11/4/2001,Hope to Die,Lawrence Block
11/11/2001,The Kiss,Danielle Steel
11/11/2001,Journy Through Heartsongs,Mattie J.T. Stepanek
11/11/2001,Portrait in Sepia,Isabel Allende
11/18/2001,Desecration,Tim LaHaye & Jerry B. Jenkins
11/18/2001,The Sigma Protocol,Robery Ludlam
11/18/2001,The New Jedi Order: Star by Star,Troy Denning
11/18/2001,Orchid Blues,Stuart Woods
11/18/2001,Sea of Swords,R.A. Salvatore
11/25/2001,Skipping Christmas,John Grisham 
11/25/2001,The Fiery Cross,Diana Gabaldon
11/25/2001,Last Man Standing,David Baldacci
12/9/2001,Violets Are Blue,James Patterson
12/9/2001,He Sees You When You're Sleeping,Mary Higgens Clark & Carol Higgins Clark
12/9/2001,The Pillars of Creation,Terry Goodkind
12/9/2001,Flesh and Blood,Jonathan Kellerman
12/23/2001,Jackdaws,Ken Follett
1/13/2002,One Door Away From Heaven,Dean Koontz
1/20/2002,Thursday's Child,Sandra Brown
1/20/2002,Basket Case,Carl Hiaasen
1/27/2002,The Millionaires,Brad Meltzer
1/27/2002,Smoke in Mirrors,Jayne Ann Krentz
1/27/2002,The Diary of Ellen Rimbauer,Joyce Reardon 
1/27/2002,Eden Burning,Elizabth Lowell
2/3/2002,Under Fire,W.E.B Griffin
2/3/2002,The Cat Who Went Up the Creek,Lillian Jackson Braun
2/3/2002,The Oath,John Lescroart
2/17/2002,Up Country,Nelson DeMille
2/17/2002,Tishomingo Blues,Elmore Leonard
2/17/2002,The Approaching Storm,Alan Dean Foster
2/24/2002,The Summons,John Grisham 
3/3/2002,Three Weeks in Paris,Barbara Taylor Bradford
3/10/2002,Hunting Season,Nevada Barr
3/10/2002,The Snow Garden,Christopher Rice
3/10/2002,The Eyre Affair,Jasper Fforde 
3/17/2002,The Cottage,Danielle Steel
3/17/2002,SouthHampton Row,Anne Perry
3/17/2002,Catch as Cat Can,Rita Mae Brown & Sneaky Pie Brown
3/17/2002,Warning Signs,Stephen White
3/24/2002,2nd Chance,James Patterson & Andrew Gross
3/24/2002,The English Assassin,Daniel Silva
3/24/2002,The Nanny Diaries,Emma McLaughlin & Nicola Kraus
3/31/2002,Atonement,Ian McEwan
3/31/2002,The Stone Monkey,Jeffery Deaver
3/31/2002,Honor Bound,Sandra Brown
3/31/2002,Time and Chance,Sharon Kay Penman
4/7/2002,Everything's Eventual,Stephen King
4/7/2002,Widow's Walk,Robert B. Parker
4/7/2002,The Pursuit,Johanna Lindsey 
4/14/2002,Body of Lies,Iris Johansen
4/14/2002,A Caress of Twilight,Laurell K. Hamilton
4/21/2002,Three Fates,Nora Roberts
4/21/2002,The Golden One,Elizabeth Peters
4/21/2002,Midnight Runner,Jack Higgins
4/28/2002,Sea Glass,Anita Shreve
4/28/2002,The Bondwoman's Narrative,Hannah Crafts
4/28/2002,A Kiss Remembered,Sandra Brown
5/5/2002,Daddy's Little Girl,Marry Higgins Clark
5/5/2002,City of Bones,Michael Connelly
5/5/2002,Dying to Please,Linda Howard
5/5/2002,The Short Forever,Stuart Woods
5/12/2002,Star Wars: Episode 2 - Attack of the Clones,R.A. Salvatore
