Date,Title,Author
2/10/2013,REFLECTED IN YOU,by Sylvia Day
2/10/2013,SOMEONE TO LOVE,by Addison Moore
2/17/2013,A DEEPER LOVE INSIDE,by Sister Souljah
2/17/2013,THE COINCIDENCE OF CALLIE AND KAYDEN,by Jessica Sorensen
2/17/2013,DYING TO READ,by Lorena McCourtney
2/17/2013,THE FIFTH ASSASSIN,by Brad Meltzer
2/24/2013,CRYSTAL COVE,by Lisa Kleypas
2/24/2013,COLLIDE,by Gail McHugh
2/24/2013,FOUR WEDDINGS AND A FIASCO BOXED SET,by Lucy Kevin
2/24/2013,WARM BODIES,by Isaac Marion
2/24/2013,UNTIL THE END OF TIME,by Danielle Steel
2/24/2013,HOPELESS,by Colleen Hoover
3/3/2013,THE POWER TRIP,by Jackie Collins
3/3/2013,SUSPECT,by Robert Crais
3/3/2013,THE INFORMATIONIST,by Taylor Stevens
3/3/2013,TENTH OF DECEMBER,by George Saunders
3/3/2013,LOST TO YOU,by A. L. Jackson
3/10/2013,WAITING FOR LOVE,by Marie Force
3/10/2013,HARD TO RESIST,by Shanora Williams
3/10/2013,THE CIDER HOUSE RULES,by John Irving
3/10/2013,BEAUTIFUL BASTARD,by Christina Lauren
3/10/2013,PRIVATE BERLIN,by James Patterson and Mark Sullivan
3/10/2013,THE DINNER,by Herman Koch
3/10/2013,"TALL, DARK AND DEADLY",by Lisa Renee Jones
3/10/2013,IF YOU STAY,by Courtney Cole
3/10/2013,GUILT,by Jonathan Kellerman
3/17/2013,IMMORTAL EVER AFTER,by Lynsay Sands
3/17/2013,EDGE OF DAWN,by Lara Adrian
3/17/2013,HEARTSONG,by Debbie Macomber
3/17/2013,RUSH,by Maya Banks
3/17/2013,WAIT FOR ME,by Elisabeth Naughton
3/24/2013,RECKLESS,by S. C. Stephens
3/24/2013,FROST BURNED,by Patricia Briggs
3/24/2013,THE STRIKER,by Clive Cussler and Justin Scott
3/24/2013,THE CHANCE,by Karen Kingsbury
3/24/2013,DAMASCUS COUNTDOWN,by Joel C. Rosenberg
3/24/2013,ALWAYS ON MY MIND,by Bella Andre
3/31/2013,BREAKING POINT,by C. J. Box
3/31/2013,NEVER TOO FAR,by Abbi Glines
3/31/2013,BLOODFIRE QUEST,by Terry Brooks
3/31/2013,MIRROR IMAGE,by Sandra Brown
3/31/2013,FALLEN TOO FAR,by Abbi Glines
3/31/2013,CALCULATED IN DEATH,by J. D. Robb
4/7/2013,EXPOSED,by Kyra Davis
4/7/2013,ADMISSION,by Jean Hanff Korelitz
4/7/2013,WITH THIS KISS,by Eloisa James
4/7/2013,HIGHLANDER MOST WANTED,by Maya Banks
4/7/2013,DEFENDING JACOB,by William Landay
4/7/2013,LIFE OF PI,by Yann Martel
4/14/2013,TWICE TEMPTED,by Jeaniene Frost
4/14/2013,SAND CASTLE BAY,by Sherryl Woods
4/14/2013,LEAVING EVERYTHING MOST LOVED,by Jacqueline Winspear
4/14/2013,AND THEN SHE FELL,by Stephanie Laurens
4/14/2013,THE EDGE OF NEVER,by J.A. Redmerski
4/14/2013,THREE SISTERS,by Susan Mallery
4/14/2013,A WEEK IN WINTER,by Maeve Binchy
4/21/2013,STARTING NOW,by Debbie Macomber
4/21/2013,TO DIE FOR,by Jana DeLeon and others
4/21/2013,OWN THE WIND,by Kristen Ashley
4/21/2013,MUSIC OF THE HEART,by Katie Ashley
4/21/2013,THE STRANGER,by Kyra Davis
4/21/2013,LOVER AT LAST,by J. R. Ward
4/28/2013,DON'T GO,by Lisa Scottoline
4/28/2013,THE SHADOWY HORSES,by Susanna Kearsley
4/28/2013,THE HOST,by Stephenie Meyer
4/28/2013,FALLING INTO YOU,by Jasinda Wilder
4/28/2013,A MEMORY OF LIGHT,by Robert Jordan and Brandon Sanderson
4/28/2013,FEVER,by Maya Banks
4/28/2013,WALKING DISASTER,by Jamie McGuire
5/5/2013,TAKING EVE,by Iris Johansen
5/5/2013,BEAUTIFUL STRANGER,by Christina Lauren
5/5/2013,SAY YOU'RE SORRY,by Michael Robotham
5/5/2013,THE BLACK BOX,by Michael Connelly
5/5/2013,THE WANDERER,by Robyn Carr
5/5/2013,THE FORGOTTEN,by David Baldacci
5/5/2013,UNINTENDED CONSEQUENCES,by Stuart Woods
5/12/2013,CLAIM ME,by J. Kenner
5/12/2013,WEDDING NIGHT,by Sophie Kinsella
5/12/2013,THE MYSTERY WOMAN,by Amanda Quick
5/12/2013,PARIS,by Edward Rutherfurd
5/12/2013,"ALEX CROSS, RUN",by James Patterson
5/12/2013,LIFE AFTER LIFE,by Kate Atkinson
5/12/2013,THE STORYTELLER,by Jodi Picoult
5/12/2013,THE BURGESS BOYS,by Elizabeth Strout
5/12/2013,BONES ARE FOREVER,by Kathy Reichs
5/19/2013,WIND CHIME POINT,by Sherryl Woods
5/19/2013,MOON,by Laurann Dohner
5/19/2013,A PRAYER FOR OWEN MEANY,by John Irving
5/19/2013,THIS GIRL,by Colleen Hoover
5/19/2013,HALFWAY THERE,by Susan Mallery
5/19/2013,BARE IT ALL,by Lori Foster
5/19/2013,THE APPLE ORCHARD,by Susan Wiggs
5/19/2013,DAMAGED,by H. M. Ward
5/19/2013,TWISTED PERFECTION,by Abbi Glines
5/26/2013,A STEP OF FAITH,by Richard Paul Evans
5/26/2013,THE ORACLE GLASS,by Judith Merkle Riley
5/26/2013,A DELICATE TRUTH,by John le Carre
5/26/2013,DOWN LONDON ROAD,by Samantha Young
5/26/2013,THE MAGICIAN'S ASSISTANT,by Ann Patchett
5/26/2013,REAL,by Katy Evans
5/26/2013,DADDY'S GONE A HUNTING,by Mary Higgins Clark
5/26/2013,FLY AWAY,by Kristin Hannah
6/2/2013,EYES WIDE OPEN,by Raine Miller
6/2/2013,THE ARRANGEMENT 7,by H.M. Ward
6/2/2013,LEFT TO DIE,by Lisa Jackson
6/2/2013,UNTIL I BREAK,by M. Leighton
6/2/2013,SAFE HAVEN,by Nicholas Sparks
6/2/2013,THE SILVER LININGS PLAYBOOK,by Matthew Quick
6/2/2013,THE BET,by Rachel Van Dyken
6/9/2013,BINDING AGREEMENT,by Kyra Davis
6/9/2013,TANGLED,by Emma Chase
6/9/2013,THE WEDNESDAY SISTERS,by Meg Waite Clayton
6/9/2013,PIECES OF YOU,by Cassia Leo
6/9/2013,STEALING HARPER,by Molly McAdams
6/9/2013,FRENCH SILK,by Sandra Brown
6/9/2013,WOOL OMNIBUS EDITION,by Hugh Howey
6/16/2013,DEEPLY ODD,by Dean Koontz
6/16/2013,THE FOREVER OF ELLA AND MICHA,by Jessica Sorensen
6/16/2013,LEOPARD'S PREY,by Christine Feehan
6/16/2013,A DIFFERENT BLUE,by Amy Harmon
6/16/2013,PROS AND CONS,by Janet Evanovich and Lee Goldberg
6/16/2013,DEAD EVER AFTER,by Charlaine Harris
6/16/2013,JUST ONE KISS,by Susan Mallery
6/23/2013,LADIES' NIGHT,by Mary Kay Andrews
6/23/2013,A WANTED MAN,by Lee Child
6/23/2013,SEA GLASS ISLAND,by Sherryl Woods
6/23/2013,ZERO HOUR,by Clive Cussler and Graham Brown
6/23/2013,BEAUTY FROM SURRENDER,by Georgia Cates
6/30/2013,THE KING'S DECEPTION,by Steve Berry
6/30/2013,THE EYE OF MOLOCH,by Glenn Beck
6/30/2013,THE KILL ROOM,by Jeffery Deaver
6/30/2013,12TH OF NEVER,by James Patterson and Maxine Paetro
6/30/2013,SILKEN PREY,by John Sandford
7/7/2013,THE 9TH GIRL,by Tami Hoag
7/7/2013,THE LINCOLN LAWYER,by Michael Connelly
7/7/2013,THE SILVER STAR,by Jeannette Walls
7/7/2013,REVENGE WEARS PRADA,by Lauren Weisberger
7/7/2013,JOYLAND,by Stephen King
7/7/2013,FOREVER TOO FAR,by Abbi Glines
7/7/2013,THE HIT,by David Baldacci
7/14/2013,THE EYE OF GOD,by James Rollins
7/14/2013,TWO OF A KIND,by Susan Mallery
7/14/2013,FORGED IN STEELE,by Maya Banks
7/14/2013,GOTCHA!,by Fern Michaels
7/14/2013,THE TAMING OF RYDER CAVANAUGH,by Stephanie Laurens
7/21/2013,THIS MAN CONFESSED,by Jodi Ellen Malpas
7/21/2013,AFFLICTION,by Laurell K. Hamilton
7/21/2013,UNSEEN,by Karin Slaughter
7/21/2013,MACRIEVE,by Kresley Cole
7/21/2013,DAMAGED 2,by H. M. Ward
7/21/2013,THE BAT,by Jo Nesbo
7/21/2013,CONQUER YOUR LOVE,by J.C. Reed
7/21/2013,BEAUTIFUL DAY,by Elin Hilderbrand
7/21/2013,THE NEWCOMER,by Robyn Carr
7/28/2013,A IS FOR ALIBI,by Sue Grafton
7/28/2013,LOSING HOPE,by Colleen Hoover
7/28/2013,BEAUTIFUL BITCH,by Christina Lauren
7/28/2013,FOUR IRRESISTIBLE ROGUES,"by Tanya Anne Crosby, Danelle Harmon, Lauren Royal and Cynthia Wright"
7/28/2013,SURRENDER YOUR LOVE,by J.C. Reed
7/28/2013,WORLD WAR Z,by Max Brooks
8/4/2013,HUNTING EVE,by Iris Johansen
8/4/2013,ALPHA BAD BOYS,by Shayla Black and others
8/4/2013,LOST AND FOUND IN CEDAR COVE,by Debbie Macomber
8/4/2013,ENTWINED WITH YOU,by Sylvia Day
8/4/2013,FRIGID,by J. Lynn
8/4/2013,THE BILLIONAIRE'S OBSESSION,by J. S. Scott
8/4/2013,DEADLY STAKES,by J. A. Jance
8/11/2013,LIGHT OF THE WORLD,by James Lee Burke
8/11/2013,THE WHITE PRINCESS,by Philippa Gregory
8/11/2013,TIME FOR LOVE,by Marie Force
8/11/2013,THE WITNESS,by Sandra Brown
8/11/2013,FEAR OF FALLING,by S.L. Jennings
8/11/2013,BAD MONKEY,by Carl Hiaasen
8/11/2013,PULSE,by Gail McHugh
8/11/2013,BOMBSHELL,by Catherine Coulter
8/11/2013,FIRST SIGHT,by Danielle Steel
8/18/2013,COMPLETE ME,by J. Kenner
8/18/2013,THREE LITTLE WORDS,by Susan Mallery
8/18/2013,MAGIC RISES,by Ilona Andrews
8/18/2013,THE DARKEST CRAVING,by Gena Showalter
8/18/2013,THE HIGHWAY,by C. J. Box
8/18/2013,THE OCEAN AT THE END OF THE LANE,by Neil Gaiman
8/18/2013,THE ARRANGEMENT 9: THE FERRO FAMILY,by H. M. Ward
8/25/2013,HOTSHOT,by Julie Garwood
8/25/2013,THE LAST WITNESS,by W.E.B. Griffin and William E. Butterworth IV
8/25/2013,THE SKY UNWASHED,by Irene Zabytko
8/25/2013,THE REDEMPTION OF CALLIE AND KAYDEN,by Jessica Sorensen
8/25/2013,THE BEAST,by Faye Kellerman
8/25/2013,THE CASUAL VACANCY,by J. K. Rowling
8/25/2013,JANE'S MELODY,by Ryan Winfield
9/1/2013,ROSE HARBOR IN BLOOM,by Debbie Macomber
9/1/2013,AFTERBURN,by Sylvia Day
9/1/2013,ROCK CHICK REVOLUTION,by Kristen Ashley
9/1/2013,SECOND HONEYMOON,by James Patterson and Howard Roughan
9/1/2013,STRIPPED,by Jasinda Wilder
9/1/2013,HIDDEN ORDER,by Brad Thor
9/1/2013,BURN,by Maya Banks
9/8/2013,NIGHT FILM,by Marisha Pessl
9/8/2013,THE BONE SEASON,by Samantha Shannon
9/8/2013,UNLOCKED,by Maya Cross
9/8/2013,THE THIRD KINGDOM,by Terry Goodkind
9/8/2013,THE ENGLISH GIRL,by Daniel Silva
9/8/2013,THE KILL LIST,by Frederick Forsyth
9/8/2013,DUST,by Hugh Howey
9/8/2013,THE BOY IN THE SUITCASE,by Lene Kaaberbol
9/15/2013,HOW THE LIGHT GETS IN,by Louise Penny
9/15/2013,BONES OF THE LOST,by Kathy Reichs
9/15/2013,DECEPTION COVE,by Jayne Castle
9/15/2013,BIG SKY WEDDING,by Linda Lael Miller
9/15/2013,EXCLUSIVE,by Sandra Brown
9/15/2013,RUIN,by Rachel Van Dyken
9/15/2013,WICKED FIRSTS,by Elisabeth Naughton and others
9/22/2013,STYXX,by Sherrilyn Kenyon
9/22/2013,DARK LYCAN,by Christine Feehan
9/22/2013,SEDUCED,by Melody Anne
9/22/2013,STRIPPED,by H.M. Ward
9/22/2013,EVERYTHING FOR US,by M. Leighton
9/22/2013,MISTRESS,by James Patterson and David Ellis
9/22/2013,BEAUTIFUL BOMBSHELL,by Christina Lauren
9/22/2013,ENVY,by Sandra Brown
9/22/2013,HIGH HEAT,by Lee Child
9/22/2013,BREAKING NOVA,by Jessica Sorensen
9/22/2013,THE HERO,by Robyn Carr
9/29/2013,ROBERT B. PARKER_S DAMNED IF YOU DO,by Michael Brandman
9/29/2013,THE SCOOP,by Fern Michaels
9/29/2013,THE SILENT WIFE,by A. S. A. Harrison
9/29/2013,REVEALING US,by Lisa Renee Jones
9/29/2013,THE MILL RIVER RECLUSE,by Darcie Chan
10/6/2013,DEADLY HEAT,by Richard Castle
10/6/2013,OUT OF LINE,by Jen McLaughlin
10/6/2013,BLEEDING EDGE,by Thomas Pynchon
10/6/2013,THE MAYAN SECRETS,by Clive Cussler and Thomas Perry
10/13/2013,SIMPLE PERFECTION,by Abbi Glines
10/13/2013,ONE LUCKY VAMPIRE,by Lynsay Sands
10/13/2013,CHRISTMAS ON 4TH STREET,by Susan Mallery
10/13/2013,ALWAYS ON MY MIND,by Jill Shalvis
10/13/2013,GETTING ROWDY,by Lori Foster
10/13/2013,THE ARRANGEMENT 10,by H.M. Ward
10/13/2013,"MIRROR, MIRROR",by J.D. Robb and others
10/20/2013,SILENCING EVE,by Iris Johansen
10/20/2013,THE OCTOBER LIST,by Jeffery Deaver
10/20/2013,THE TRAINING,by Tara Sue Me
10/20/2013,POSSESSION,by J. R. Ward
10/20/2013,THE QUEST,by Nelson DeMille
10/20/2013,DEADLINE,by Sandra Brown
10/20/2013,THANKLESS IN DEATH,by J. D. Robb
10/20/2013,THE FINAL CUT,by Catherine Coulter and J.T. Ellison
10/27/2013,STARRY NIGHT,by Debbie Macomber
10/27/2013,THE CIRCLE,by Dave Eggers
10/27/2013,WORTH THE FIGHT,by Vi Keeland
10/27/2013,CARTER REED,by Tijan
10/27/2013,W IS FOR WASTED,by Sue Grafton
10/27/2013,SECRETS COLLIDE,by Kathleen Brooks
10/27/2013,INHERIT THE DEAD,by Lee Child
10/27/2013,THE LOWLAND,by Jhumpa Lahiri
11/3/2013,JUST ONE EVIL ACT,by Elizabeth George
11/3/2013,BETWEEN SISTERS,by Kristin Hannah
11/3/2013,POLICE,by Jo Nesbo
11/3/2013,THE WOLVES OF MIDWINTER,by Anne Rice
11/3/2013,THE SIGNATURE OF ALL THINGS,by Elizabeth Gilbert
11/3/2013,THE LUMINARIES,by Eleanor Catton
11/3/2013,DOING HARD TIME,by Stuart Woods
11/10/2013,THE TEMPTATION OF LILA AND ETHAN,by Jessica Sorensen
11/10/2013,TRUST IN ME,by J. Lynn
11/10/2013,THE WAGER,by Rachel Van Dyken
11/10/2013,BRIDGET JONES: MAD ABOUT THE BOY,by Helen Fielding
11/10/2013,GONE,by James Patterson and Michael Ledwidge
11/10/2013,TREASURE YOUR LOVE,by J.C. Reed
11/17/2013,AFTER DEAD,by Charlaine Harris
11/17/2013,BEAUTIFUL PLAYER,by Christina Lauren
11/17/2013,THE SUM OF ALL KISSES,by Julia Quinn
11/17/2013,WYOMING BOLD,by Diana Palmer
11/17/2013,FIFTEEN MINUTES,by Karen Kingsbury
11/17/2013,THE ARRANGEMENT 11,by H. M. Ward
11/17/2013,ARCHANGEL'S LEGION,by Nalini Singh
11/17/2013,STORM FRONT,by John Sandford
11/17/2013,THE PERFECT MATCH,by Kristan Higgins
11/24/2013,THE EDGE OF ALWAYS,by J. A. Redmerski
11/24/2013,MINE,by Katy Evans
11/24/2013,THE MINOR ADJUSTMENT BEAUTY SALON,by Alexander McCall Smith
11/24/2013,WILDERNESS,by Dean Koontz
11/24/2013,JAGGED,by Kristen Ashley
11/24/2013,WINNERS,by Danielle Steel
11/24/2013,RUMOR HAS IT,by Jill Shalvis
11/24/2013,IDENTICAL,by Scott Turow
12/1/2013,SCORCHED,by Melody Anne
12/1/2013,TATIANA,by Martin Cruz Smith
12/1/2013,THE ALL-GIRL FILLING STATION'S LAST REUNION,by Fannie Flagg
12/1/2013,IS THIS TOMORROW,by Caroline Leavitt
12/1/2013,WE ARE WATER,by Wally Lamb
12/8/2013,BEAUTIFUL BEGINNING,by Christina Lauren
12/8/2013,MEANT FOR LOVE,by Marie Force
12/8/2013,MIRAGE,by Clive Cussler with Jack Du Brul
12/8/2013,HOLIDAYS WITH THE WALKER BROTHERS,by Nicole Edwards
12/8/2013,IT MUST BE YOUR LOVE,by Bella Andre
12/8/2013,THE VALLEY OF AMAZEMENT,by Amy Tan
12/8/2013,WHITE FIRE,by Douglas Preston and Lincoln Child
12/15/2013,REMY,by Katy Evans
12/15/2013,FOREVER US,by Sandi Lynn
12/15/2013,THE SUPREME MACARONI COMPANY,by Adriana Trigiani
12/15/2013,NO GOOD DUKE GOES UNPUNISHED,by Sarah MacLean
12/15/2013,HOSTAGE,by Kay Hooper
12/15/2013,BROKEN,by Kelly Elliott
12/22/2013,GABRIEL'S REDEMPTION,by Sylvain Reynard
12/22/2013,TAKE ME,by J. Kenner
12/22/2013,THE EVER AFTER OF ELLA AND MICHA,by Jessica Sorensen
12/22/2013,A GAME OF THRONES: FIVE-BOOK SET,by George R. R. Martin
12/29/2013,A BEAUTIFUL WEDDING,by Jamie McGuire
12/29/2013,TRUE,by Laurann Dohner
12/29/2013,THE ARRANGEMENT 12,by H. M. Ward
1/5/2014,DUST,by Patricia Cornwell
1/5/2014,A DANCE WITH DRAGONS,by George R. R. Martin
1/5/2014,THE RACKETEER,by John Grisham
1/12/2014,AND THE MOUNTAINS ECHOED,by Khaled Hosseini
1/12/2014,SIX YEARS,by Harlan Coben
1/19/2014,BIG SKY SECRETS,by Linda Lael Miller
1/19/2014,HAZARDOUS DUTY,by W. E. B. Griffin and William E. Butterworth IV
1/19/2014,DOCTOR SLEEP,by Stephen King
1/19/2014,NOS4A2,by Joe Hill
1/19/2014,DARK WITCH,by Nora Roberts
1/19/2014,KING AND MAXWELL,by David Baldacci
1/26/2014,DARK WOLF,by Christine Feehan
1/26/2014,AFTER THE STORM,by Maya Banks
1/26/2014,RIVER ROAD,by Jayne Ann Krentz
1/26/2014,ROME,by Jay Crownover
1/26/2014,WANTED,by J. Kenner
1/26/2014,THE PAGAN LORD,by Bernard Cornwell
1/26/2014,INNOCENCE,by Dean Koontz
1/26/2014,WAIT FOR YOU,by J. Lynn
1/26/2014,THE DESTINY OF VIOLET & LUKE (CALLIE & KAYDEN),by Jessica Sorensen
2/2/2014,SCANDALOUS BRIDES,by Annette Blair and others
2/2/2014,THE POLARIS PROTOCOL,by Brad Taylor
2/2/2014,THE DEAD IN THEIR VAULTED ARCHES,by Alan Bradley
2/2/2014,THE FIRST PHONE CALL FROM HEAVEN,by Mitch Albom
2/2/2014,SWITCHBLADE,by Michael Connelly
2/2/2014,TAKEDOWN TWENTY,by Janet Evanovich
2/2/2014,FOREVER WITH YOU,by Laurelin Paige
2/2/2014,CROSS MY HEART,by James Patterson
2/9/2014,FINAL VOW,by Kathleen Brooks
2/9/2014,"THE PROFESSIONAL, PART 3",by Kresley Cole
2/9/2014,FLOWERS IN THE ATTIC,by V.C. Andrews
2/9/2014,THE GOLEM AND THE JINNI,by Helene Wecker
2/9/2014,CHOCOLATE CHIP COOKIE MURDER,by Joanne Fluke
2/9/2014,LOST LAKE,by Sarah Addison Allen
2/9/2014,THE GODS OF GUILT,by Michael Connelly
2/9/2014,STANDUP GUY,by Stuart Woods
2/16/2014,UP FROM THE GRAVE,by Jeaniene Frost
2/16/2014,ONLY TIME WILL TELL,by Jeffrey Archer
2/16/2014,REAPER'S LEGACY,by Joanna Wylde
2/16/2014,HOME TO SEAVIEW KEY,by Sherryl Woods
2/16/2014,THE SINS OF THE FATHER,by Jeffrey Archer
2/16/2014,COMMAND AUTHORITY,by Tom Clancy with Mark Greaney
2/16/2014,FEAR NOTHING,by Lisa Gardner
2/16/2014,BEST KEPT SECRET,by Jeffrey Archer
2/23/2014,LETTING GO,by Maya Banks
2/23/2014,BE WITH ME,by J. Lynn
2/23/2014,THE ARRANGEMENT 13,by H. M. Ward
2/23/2014,KALEIDOSCOPE,by Kristen Ashley
2/23/2014,RULE BREAKER,by Lora Leigh
2/23/2014,ALL YOU NEED IS LOVE,by Marie Force
2/23/2014,STAKING HIS CLAIM,by Tessa Bailey
2/23/2014,MELTING THE ICE,by Jaci Burton
2/23/2014,LABOR DAY,by Joyce Maynard
3/2/2014,COCKROACHES,by Jo Nesbo
3/2/2014,THE COUNTERFEIT AGENT,by Alex Berenson
3/2/2014,THE HOUSE GIRL,by Tara Conklin
3/2/2014,GIVE IN TO ME,by K.M. Scott
3/2/2014,THE ROSIE PROJECT,by Graeme Simsion
3/2/2014,FIRST LOVE,by James Patterson and Emily Raymond
3/9/2014,VAMPIRE MOST WANTED,by Lynsay Sands
3/9/2014,ONCE IN A LIFETIME,by Jill Shalvis
3/9/2014,LIKE A MIGHTY ARMY,by David Weber
3/9/2014,MOVING TARGET,by J. A. Jance
3/9/2014,THE EX GAMES 2,by J.S. Cooper and Helen Cooper
3/9/2014,WINTER'S TALE,by Mark Helprin
3/9/2014,THE EX GAMES 3,by J.S. Cooper and Helen Cooper
3/9/2014,ENDER'S GAME,by Orson Scott Card
3/9/2014,THE EX GAMES,by J. S. Cooper and Helen Cooper
3/16/2014,FRIENDS  AND THEN SOME,by Debbie Macomber
3/16/2014,THE UNDEAD POOL,by Kim Harrison
3/16/2014,TAKE A CHANCE,by Abbi Glines
3/16/2014,THE ARRANGEMENT 14,by H. M. Ward
3/16/2014,BLACKBERRY PIE MURDER,by Joanne Fluke
3/16/2014,RARE AND PRECIOUS THINGS,by Raine Miller
3/16/2014,HARD AS YOU CAN,by Laura Kaye
3/16/2014,EVENING STARS,by Susan Mallery
3/16/2014,TOUCH AND GO,by Lisa Gardner
3/23/2014,CRASHED,by K. Bromberg
3/23/2014,JUST TO BE WITH YOU,by Bella Andre
3/23/2014,LUCKY 7 BAD BOYS CONTEMPORARY ROMANCE BOXED SET,by Tawny Weber
3/23/2014,TOXIC,by Rachel Van Dyken
3/23/2014,DEADLY DOZEN,"by Diane Capri, J Carson Black and others"
3/23/2014,BONE DEEP,by Randy Wayne White
3/23/2014,KILLER,by Jonathan Kellerman
3/23/2014,THE WHOLE ENCHILADA,by Diane Mott Davidson
3/30/2014,AFTERSHOCK,by Sylvia Day
3/30/2014,STONE COLD,by C. J. Box
3/30/2014,PRIVATE L.A.,by James Patterson and Mark Sullivan
3/30/2014,THE CHANCE,by Robyn Carr
3/30/2014,STILL LIFE WITH BREAD CRUMBS,by Anna Quindlen
3/30/2014,"FATED MATES, THE ALPHA SHIFTER BOXED SET",by Skye Eagleday
3/30/2014,CONCEALED IN DEATH,by J. D. Robb
3/30/2014,THE CHASE,by Janet Evanovich and Lee Goldberg
3/30/2014,WORDS OF RADIANCE,by Brandon Sanderson
4/6/2014,MAYBE SOMEDAY,by Colleen Hoover
4/6/2014,BEAUTIFUL RUINS,by Jess Walter
4/6/2014,RAISING STEAM,by Terry Pratchett
4/6/2014,THE CAIRO AFFAIR,by Olen Steinhauer
4/6/2014,YOU SHOULD HAVE KNOWN,by Jean Hanff Korelitz
4/6/2014,THE AUSCHWITZ ESCAPE,by Joel C. Rosenberg
4/6/2014,FERAL HEAT,by Jennifer Ashley
4/6/2014,BULLSEYE,by David Baldacci
4/6/2014,NIGHT BROKEN,by Patricia Briggs
4/6/2014,THE BOOTLEGGER,by Clive Cussler and Justin Scott
4/6/2014,BE CAREFUL WHAT YOU WISH FOR,by Jeffrey Archer
4/13/2014,BLOSSOM STREET BRIDES,by Debbie Macomber
4/13/2014,FATAL JEOPARDY,by Marie Force
4/13/2014,VERONICA MARS: THE THOUSAND-DOLLAR TAN LINE,by Rob Thomas and Jennifer Graham
4/13/2014,FOUR FRIENDS,by Robyn Carr
4/13/2014,TEMPTING FATE,by Jane Green
4/13/2014,DASH OF PERIL,by Lori Foster
4/13/2014,WAITING ON YOU,by Kristan Higgins
4/13/2014,THE RETURN OF RAFE MACKADE,by Nora Roberts
4/20/2014,WILD WOLF,by Jennifer Ashley
4/20/2014,BY ITS COVER,by Donna Leon
4/20/2014,WARRIORS,by Ted Bell
4/20/2014,POWER PLAY,by Danielle Steel
4/20/2014,DESTROYER ANGEL,by Nevada Barr
4/20/2014,PLAY,by Kylie Scott
4/27/2014,THE WILL,by Kristen Ashley
4/27/2014,A LAND MORE KIND THAN HOME,by Wiley Cash
4/27/2014,THE BOLEYN INHERITANCE,by Philippa Gregory
4/27/2014,THE KING,by J. R. Ward
4/27/2014,REASONABLE DOUBT,by Whitney Gracia Williams
4/27/2014,NEVER GO BACK,by Lee Child
5/4/2014,THE SPACE BETWEEN,by Diana Gabaldon
5/4/2014,NIGHT AFTER NIGHT,by Lauren Blakely
5/4/2014,FIGHTING TO FORGET,by J.B. Salsbury
5/4/2014,THE HANGING JUDGE,by Michael Ponsor
5/4/2014,THEIR VIRGIN SECRETARY,by Shayla Black and Lexi Blake
5/11/2014,CHESTNUT STREET,by Maeve Binchy
5/11/2014,OTHERWISE ENGAGED,by Amanda Quick
5/11/2014,SEALS OF SUMMER,"by Delilah Devlin, Sharon Hamilton and others"
5/11/2014,RECONSTRUCTING AMELIA,by Kimberly McCreight
5/11/2014,MISSING YOU,by Harlan Coben
5/11/2014,LITTLE GIRL LOST,by Brian McGilloway
5/11/2014,SHADOW SPELL,by Nora Roberts
5/11/2014,FLIGHT BEHAVIOR,by Barbara Kingsolver
5/11/2014,CARNAL CURIOSITY,by Stuart Woods
5/18/2014,WHEN WE MET,by Susan Mallery
5/18/2014,ALPHA,by Jasinda Wilder
5/18/2014,LIVE TO SEE TOMORROW,by Iris Johansen
5/18/2014,NASH,by Jay Crownover
5/18/2014,BURNING DAWN,by Gena Showalter
5/18/2014,A SWEET LIFE,"by Bella Andre, Barbara Freethy and others"
5/18/2014,THE MASTERFUL MR. MONTAGUE,by Stephanie Laurens
5/18/2014,NYPD RED 2,by James Patterson and Marshall Karp
5/18/2014,I'VE GOT YOU UNDER MY SKIN,by Mary Higgins Clark
5/18/2014,BENDER,by Stacy Borel
5/18/2014,THE FIXED TRILOGY,by Laurelin Paige
5/25/2014,GIVING IN,by Maya Banks
5/25/2014,ARCHER'S VOICE,by Mia Sheridan
5/25/2014,RUSH TOO FAR,by Abbi Glines
5/25/2014,BEYOND DESIRE COLLECTION,"by J.S. Scott, M. Malone and others"
5/25/2014,THE KEEPER,by John Lescroart
5/25/2014,ROBERT B. PARKER'S CHEAP SHOT,by Ace Atkins
5/25/2014,MIDNIGHT CROSSROAD,by Charlaine Harris
5/25/2014,WALKING ON WATER,by Richard Paul Evans
6/1/2014,AFTER THIS NIGHT,by Lauren Blakely
6/1/2014,FOOL MOON,by Jim Butcher
6/1/2014,GRAVE PERIL,by Jim Butcher
6/1/2014,ANY OTHER NAME,by Craig Johnson
6/1/2014,THE KILL SWITCH,by James Rollins and Grant Blackwood
6/1/2014,THE SON,by Jo Nesbo
6/1/2014,STORM FRONT,by Jim Butcher
6/8/2014,SIXTH GRAVE ON THE EDGE,by Darynda Jones
6/8/2014,THE SKIN COLLECTOR,by Jeffery Deaver
6/8/2014,THE INVENTION OF WINGS,by Sue Monk Kidd
6/8/2014,TAINT,by S.L. Jennings
6/8/2014,SNIPER'S HONOR,by Stephen Hunter
6/8/2014,REASONABLE DOUBT: BOOK 2,by Whitney G
6/15/2014,THE MARRIAGE PACT,by Linda Lael Miller
6/15/2014,THE LINCOLN MYTH,by Steve Berry
6/15/2014,THE GIRL WHO CAME HOME,by Hazel Gaynor
